id;version;product_id;name;price;live_date
1;23324;Account;website quantify;38757;2023-06-18T08:36:00
2;90460;navigate wireless Handmade;Dynamic Pound withdrawal;88209;2023-06-18T00:47:34
3;8294;Centers Metal navigating;partnerships Infrastructure;91058;2023-06-17T19:56:29
4;82822;New;green Malagasy;32770;2023-06-18T03:21:26
5;48018;neutral;Bike;78661;2023-06-18T12:19:31
6;11502;CFP orange;Village;95487;2023-06-18T07:51:35
7;58781;indigo JSON Mexico;Steel;15779;2023-06-18T06:36:18
8;27546;homogeneous Crossroad;Chips De-engineered Tunnel;5902;2023-06-18T14:17:25
9;20319;SMS;methodical;83666;2023-06-17T23:59:15
10;16934;rich South Forward;Stand-alone Fantastic Sleek;44109;2023-06-17T19:44:29
